ID,Full Name,Gender,Date of Birth,Checkout Date,Purpose,SOURCE,Overall Experience,NPS RATING,NPS CATEGORY,Feedback,Feedback Category,Rating,Rating Range
465,Guest 00465,Male,1974-09-03,2021-01-07,Business,Organization,4,5,Detractors,Staff attitude,Staff,Very good,4
466,Guest 00466,Female,1963-07-04,2020-03-10,Function,Organization,5,8,Passives,Check-in Process,Staff,Good,3
467,Guest 00467,Male,2001-12-28,2021-06-16,Vacation,Internet advertisement,2,9,Promoters,Room service,Room,Excellent,5
468,Guest 00468,Female,1971-07-16,2022-11-02,Business,Organization,3,4,Detractors,Room cleanliness,Room,Good,3
469,Guest 00469,Male,1967-11-29,2021-12-09,Business,Organization,3,7,Passives,Food quality,Restaurant,Average,2
470,Guest 00470,Male,1965-08-25,2020-06-30,Vacation,hotel booking sites,4,6,Detractors,Variety of food,Restaurant,Poor,1
471,Guest 00471,Female,1998-06-26,2020-07-12,Vacation,hotel booking sites,5,9,Promoters,Broadband & TV,Facility,Good,3
472,Guest 00472,Male,1955-12-17,2022-08-19,Vacation,Internet advertisement,2,9,Promoters,Gym,Facility,Average,2
473,Guest 00473,Male,1998-10-12,2020-03-31,Vacation,Word of mouth,3,3,Detractors,Staff attitude,Staff,Very good,4
474,Guest 00474,Male,1969-12-21,2021-03-31,Other,News paper,4,6,Detractors,Check-in Process,Staff,Excellent,5
475,Guest 00475,Male,1988-11-22,2020-02-28,Business,Organization,3,5,Detractors,Room service,Room,Very good,4
476,Guest 00476,Male,1961-08-23,2020-06-11,Vacation,Search engine,2,8,Passives,Room cleanliness,Room,Excellent,5
477,Guest 00477,Female,1967-06-02,2020-10-30,Business,Organization,3,9,Promoters,Food quality,Restaurant,Average,2
478,Guest 00478,Male,1959-10-06,2020-01-27,Function,Word of mouth,5,3,Detractors,Variety of food,Restaurant,Poor,1
479,Guest 00479,Female,1971-10-13,2021-12-13,Business,Organization,2,8,Passives,Broadband & TV,Facility,Poor,1
480,Guest 00480,Male,1980-02-14,2021-03-10,Business,Organization,2,9,Promoters,Gym,Facility,Poor,1
481,Guest 00481,Male,1975-12-18,2022-02-22,Business,Search engine,2,3,Detractors,Staff attitude,Staff,Excellent,5
482,Guest 00482,Male,1966-08-31,2020-06-17,Function,Word of mouth,5,6,Detractors,Check-in Process,Staff,Very good,4
483,Guest 00483,Female,1985-01-31,2022-07-19,Business,Organization,5,6,Detractors,Room service,Room,Very good,4
484,Guest 00484,Female,2006-02-14,2020-04-30,Business,Organization,4,7,Passives,Room cleanliness,Room,Excellent,5
485,Guest 00485,Female,2001-01-02,2022-10-21,Vacation,Television advertisement,5,9,Promoters,Food quality,Restaurant,Very good,4
486,Guest 00486,Female,1979-01-13,2020-04-22,Function,Television advertisement,5,8,Passives,Variety of food,Restaurant,Poor,1
487,Guest 00487,Female,2006-11-30,2021-10-24,Function,Search engine,2,6,Detractors,Broadband & TV,Facility,Very good,4
488,Guest 00488,Male,1953-09-19,2020-05-02,Vacation,Search engine,5,8,Passives,Gym,Facility,Excellent,5
489,Guest 00489,Female,1985-05-20,2021-07-05,Vacation,Search engine,5,6,Detractors,Staff attitude,Staff,Very good,4
490,Guest 00490,Male,1963-03-20,2021-04-12,Function,Search engine,5,10,Promoters,Check-in Process,Staff,Very good,4
491,Guest 00491,Male,2001-11-23,2020-10-02,Vacation,Television advertisement,4,5,Detractors,Room service,Room,Very good,4
492,Guest 00492,Female,2003-07-17,2022-05-11,Vacation,Search engine,3,9,Promoters,Room cleanliness,Room,Average,2
493,Guest 00493,Male,1993-09-09,2021-09-18,Business,Organization,4,7,Passives,Food quality,Restaurant,Poor,1
494,Guest 00494,Male,1963-07-29,2022-02-26,Function,Word of mouth,2,6,Detractors,Variety of food,Restaurant,Very good,4
495,Guest 00495,Male,1961-09-10,2020-05-03,Business,Organization,5,9,Promoters,Broadband & TV,Facility,Excellent,5
496,Guest 00496,Male,1957-10-25,2021-07-09,Business,Organization,1,9,Promoters,Gym,Facility,Very good,4
497,Guest 00497,Male,1953-11-06,2022-02-02,Vacation,hotel booking sites,1,4,Detractors,Staff attitude,Staff,Poor,1
498,Guest 00498,Female,1997-03-16,2021-12-30,Vacation,Internet advertisement,5,9,Promoters,Check-in Process,Staff,Good,3
499,Guest 00499,Female,1981-08-02,2020-06-12,Vacation,Internet advertisement,4,9,Promoters,Room service,Room,Very good,4
500,Guest 00500,Female,1983-12-15,2021-10-06,Vacation,hotel booking sites,3,3,Detractors,Room cleanliness,Room,Poor,1
501,Guest 00501,Female,1970-01-18,2020-08-25,Other,Organization,3,3,Detractors,Food quality,Restaurant,Average,2
502,Guest 00502,Male,1970-12-06,2022-11-17,Vacation,Internet advertisement,4,10,Promoters,Variety of food,Restaurant,Average,2
503,Guest 00503,Female,1993-11-25,2020-05-28,Business,Organization,4,9,Promoters,Broadband & TV,Facility,Poor,1
504,Guest 00504,Male,2001-06-30,2022-12-16,Vacation,News paper,3,7,Passives,Gym,Facility,Good,3
505,Guest 00505,Male,1980-11-12,2021-12-08,Vacation,hotel booking sites,5,8,Passives,Staff attitude,Staff,Very good,4
506,Guest 00506,Male,1992-07-02,2020-09-12,Vacation,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Excellent,5
507,Guest 00507,Female,1975-10-18,2020-10-06,Vacation,Search engine,4,9,Promoters,Room service,Room,Good,3
508,Guest 00508,Female,1977-11-08,2022-07-20,Vacation,Word of mouth,2,8,Passives,Room cleanliness,Room,Excellent,5
509,Guest 00509,Male,1987-12-25,2020-06-30,Function,Word of mouth,5,8,Passives,Food quality,Restaurant,Good,3
510,Guest 00510,Male,1956-01-11,2021-03-30,Business,Organization,3,10,Promoters,Variety of food,Restaurant,Average,2
511,Guest 00511,Male,1981-04-12,2021-04-22,Business,Organization,4,9,Promoters,Broadband & TV,Facility,Excellent,5
512,Guest 00512,Male,1954-10-15,2022-02-13,Vacation,hotel booking sites,1,9,Promoters,Gym,Facility,Good,3
513,Guest 00513,Female,1959-03-03,2022-05-11,Vacation,Internet advertisement,5,7,Passives,Staff attitude,Staff,Excellent,5
514,Guest 00514,Female,1951-05-06,2022-08-23,Other,hotel booking sites,2,8,Passives,Check-in Process,Staff,Very good,4
515,Guest 00515,Male,1959-02-04,2021-05-22,Vacation,Word of mouth,4,4,Detractors,Room service,Room,Very good,4
516,Guest 00516,Male,1963-07-12,2020-06-29,Business,Word of mouth,2,9,Promoters,Room cleanliness,Room,Very good,4
517,Guest 00517,Male,1967-03-28,2022-04-02,Function,Internet advertisement,5,9,Promoters,Food quality,Restaurant,Poor,1
518,Guest 00518,Male,1957-03-02,2021-09-08,Vacation,News paper,3,7,Passives,Variety of food,Restaurant,Poor,1
519,Guest 00519,Male,1989-06-07,2020-08-11,Business,Word of mouth,2,9,Promoters,Broadband & TV,Facility,Average,2
520,Guest 00520,Male,1994-12-09,2022-07-09,Business,Organization,4,9,Promoters,Gym,Facility,Good,3
521,Guest 00521,Male,1999-11-19,2022-11-22,Other,hotel booking sites,4,9,Promoters,Staff attitude,Staff,Good,3
522,Guest 00522,Male,1994-02-07,2021-08-25,Business,Organization,4,9,Promoters,Check-in Process,Staff,Very good,4
523,Guest 00523,Male,1972-06-03,2021-09-19,Business,Organization,5,5,Detractors,Room service,Room,Excellent,5
524,Guest 00524,Female,1971-06-24,2021-12-22,Business,Organization,5,4,Detractors,Room cleanliness,Room,Good,3
525,Guest 00525,Male,1978-12-08,2020-03-20,Business,Organization,5,8,Passives,Food quality,Restaurant,Poor,1
526,Guest 00526,Female,1960-01-02,2022-07-31,Other,hotel booking sites,1,9,Promoters,Variety of food,Restaurant,Average,2
527,Guest 00527,Male,1961-01-26,2021-06-18,Vacation,Word of mouth,4,7,Passives,Broadband & TV,Facility,Poor,1
528,Guest 00528,Female,1986-03-30,2022-02-07,Business,Organization,5,10,Promoters,Gym,Facility,Excellent,5
529,Guest 00529,Male,1966-06-11,2020-08-29,Business,Organization,5,8,Passives,Staff attitude,Staff,Very good,4
530,Guest 00530,Female,1982-05-29,2022-07-19,Vacation,Television advertisement,5,9,Promoters,Check-in Process,Staff,Excellent,5
531,Guest 00531,Female,2000-03-23,2022-05-05,Vacation,Internet advertisement,3,7,Passives,Room service,Room,Excellent,5
532,Guest 00532,Female,1986-04-09,2021-03-12,Vacation,hotel booking sites,3,10,Promoters,Room cleanliness,Room,Poor,1
533,Guest 00533,Female,1959-05-17,2020-12-07,Vacation,Organization,3,6,Detractors,Food quality,Restaurant,Very good,4
534,Guest 00534,Male,1955-08-16,2020-09-16,Business,hotel booking sites,4,10,Promoters,Variety of food,Restaurant,Average,2
535,Guest 00535,Female,1969-09-05,2021-09-02,Business,Organization,5,9,Promoters,Broadband & TV,Facility,Very good,4
536,Guest 00536,Female,1957-09-30,2022-12-28,Function,Organization,4,8,Passives,Gym,Facility,Very good,4
537,Guest 00537,Female,2006-11-29,2020-01-18,Business,Organization,5,10,Promoters,Staff attitude,Staff,Very good,4
538,Guest 00538,Male,1956-07-06,2021-08-30,Function,Television advertisement,2,9,Promoters,Check-in Process,Staff,Excellent,5
539,Guest 00539,Male,2005-03-01,2020-07-21,Business,Organization,5,9,Promoters,Room service,Room,Good,3
540,Guest 00540,Female,1975-11-19,2021-11-24,Business,Organization,3,9,Promoters,Room cleanliness,Room,Average,2
541,Guest 00541,Female,1975-03-18,2020-06-27,Vacation,Word of mouth,5,7,Passives,Food quality,Restaurant,Excellent,5
542,Guest 00542,Male,1956-12-19,2020-06-28,Vacation,Television advertisement,5,9,Promoters,Variety of food,Restaurant,Poor,1
543,Guest 00543,Male,1978-08-13,2021-12-24,Business,Organization,3,3,Detractors,Broadband & TV,Facility,Poor,1
544,Guest 00544,Female,1994-08-22,2021-10-01,Vacation,Internet advertisement,4,4,Detractors,Gym,Facility,Excellent,5
545,Guest 00545,Male,1991-06-30,2022-07-05,Vacation,hotel booking sites,5,7,Passives,Staff attitude,Staff,Good,3
546,Guest 00546,Male,1969-11-25,2021-09-05,Business,Organization,5,9,Promoters,Check-in Process,Staff,Very good,4
547,Guest 00547,Male,1987-11-01,2022-08-01,Other,Search engine,3,9,Promoters,Room service,Room,Poor,1
548,Guest 00548,Female,1996-07-06,2022-02-24,Function,Search engine,4,9,Promoters,Room cleanliness,Room,Excellent,5
549,Guest 00549,Female,1994-07-29,2020-08-06,Vacation,hotel booking sites,2,9,Promoters,Food quality,Restaurant,Poor,1
550,Guest 00550,Male,1982-08-28,2022-11-25,Vacation,Internet advertisement,4,8,Passives,Variety of food,Restaurant,Poor,1
551,Guest 00551,Male,1999-08-11,2021-12-07,Business,Organization,1,9,Promoters,Broadband & TV,Facility,Very good,4
552,Guest 00552,Female,1970-05-06,2021-08-23,Other,hotel booking sites,3,8,Passives,Gym,Facility,Average,2
553,Guest 00553,Male,1958-02-03,2022-09-11,Business,Organization,5,4,Detractors,Staff attitude,Staff,Very good,4
554,Guest 00554,Female,1960-12-31,2022-07-02,Vacation,hotel booking sites,5,6,Detractors,Check-in Process,Staff,Very good,4
555,Guest 00555,Female,1975-02-18,2020-09-28,Function,Television advertisement,2,5,Detractors,Room service,Room,Very good,4
556,Guest 00556,Female,1963-05-01,2020-12-04,Vacation,Television advertisement,4,9,Promoters,Room cleanliness,Room,Very good,4
557,Guest 00557,Female,1975-03-23,2022-01-03,Business,Organization,2,4,Detractors,Food quality,Restaurant,Very good,4
558,Guest 00558,Female,1959-04-02,2020-12-13,Business,Search engine,3,9,Promoters,Variety of food,Restaurant,Poor,1
559,Guest 00559,Male,1959-08-12,2021-08-08,Other,Word of mouth,5,9,Promoters,Broadband & TV,Facility,Good,3
560,Guest 00560,Female,2001-05-14,2020-06-21,Business,Search engine,4,8,Passives,Gym,Facility,Poor,1
561,Guest 00561,Male,1988-10-08,2020-10-29,Function,Search engine,5,9,Promoters,Staff attitude,Staff,Very good,4
562,Guest 00562,Male,2003-05-27,2020-11-24,Vacation,hotel booking sites,4,7,Passives,Check-in Process,Staff,Average,2
563,Guest 00563,Female,1964-02-12,2020-05-24,Other,hotel booking sites,5,8,Passives,Room service,Room,Very good,4
564,Guest 00564,Male,1978-05-31,2020-02-15,Vacation,Word of mouth,1,9,Promoters,Room cleanliness,Room,Very good,4
565,Guest 00565,Female,2002-10-28,2020-07-09,Vacation,Internet advertisement,2,9,Promoters,Food quality,Restaurant,Average,2
566,Guest 00566,Male,1988-04-02,2020-11-22,Vacation,Word of mouth,4,9,Promoters,Variety of food,Restaurant,Average,2
567,Guest 00567,Male,2000-09-05,2022-11-16,Vacation,Word of mouth,1,9,Promoters,Broadband & TV,Facility,Average,2
568,Guest 00568,Female,2002-01-09,2022-11-06,Vacation,hotel booking sites,5,9,Promoters,Gym,Facility,Excellent,5
569,Guest 00569,Male,1982-12-19,2020-01-30,Vacation,Search engine,5,9,Promoters,Staff attitude,Staff,Good,3
570,Guest 00570,Female,1955-04-27,2020-01-31,Business,Organization,3,4,Detractors,Check-in Process,Staff,Excellent,5
571,Guest 00571,Female,1979-12-21,2021-03-18,Vacation,hotel booking sites,3,5,Detractors,Room service,Room,Average,2
572,Guest 00572,Male,1976-09-25,2021-02-27,Vacation,Internet advertisement,5,7,Passives,Room cleanliness,Room,Good,3
573,Guest 00573,Male,1958-02-05,2020-09-08,Vacation,Internet advertisement,4,9,Promoters,Food quality,Restaurant,Very good,4
574,Guest 00574,Female,1979-12-31,2021-04-15,Business,Organization,5,7,Passives,Variety of food,Restaurant,Poor,1
575,Guest 00575,Female,1983-05-15,2022-05-24,Business,Organization,3,10,Promoters,Broadband & TV,Facility,Average,2
576,Guest 00576,Male,1984-03-12,2022-04-05,Business,Organization,3,8,Passives,Gym,Facility,Excellent,5
577,Guest 00577,Male,1955-12-17,2020-09-03,Vacation,hotel booking sites,5,5,Detractors,Staff attitude,Staff,Very good,4
578,Guest 00578,Male,1992-02-27,2022-12-22,Business,Organization,5,9,Promoters,Check-in Process,Staff,Very good,4
579,Guest 00579,Female,1980-09-01,2022-11-10,Function,Television advertisement,3,9,Promoters,Room service,Room,Very good,4
580,Guest 00580,Female,1965-02-12,2021-05-28,Vacation,hotel booking sites,4,5,Detractors,Room cleanliness,Room,Good,3
581,Guest 00581,Male,1952-04-09,2021-12-06,Vacation,Word of mouth,4,10,Promoters,Food quality,Restaurant,Good,3
582,Guest 00582,Male,2000-03-09,2022-03-24,Business,Organization,5,8,Passives,Variety of food,Restaurant,Very good,4
583,Guest 00583,Male,1963-08-18,2020-06-05,Business,Word of mouth,2,9,Promoters,Broadband & TV,Facility,Average,2
584,Guest 00584,Male,1998-04-03,2021-10-12,Function,Word of mouth,1,5,Detractors,Gym,Facility,Poor,1
585,Guest 00585,Female,1964-01-11,2022-09-22,Business,Organization,1,3,Detractors,Staff attitude,Staff,Very good,4
586,Guest 00586,Male,1990-08-12,2022-07-11,Business,Organization,4,10,Promoters,Check-in Process,Staff,Good,3
587,Guest 00587,Female,2003-04-30,2020-11-01,Vacation,Television advertisement,4,9,Promoters,Room service,Room,Very good,4
588,Guest 00588,Female,1974-01-10,2021-08-11,Business,Organization,5,4,Detractors,Room cleanliness,Room,Poor,1
589,Guest 00589,Male,1989-12-14,2021-05-27,Vacation,Search engine,5,6,Detractors,Food quality,Restaurant,Poor,1
590,Guest 00590,Male,1994-09-06,2022-07-08,Vacation,Word of mouth,5,3,Detractors,Variety of food,Restaurant,Average,2
591,Guest 00591,Female,1953-02-26,2021-12-15,Business,Organization,3,9,Promoters,Broadband & TV,Facility,Average,2
592,Guest 00592,Male,1960-01-14,2020-07-07,Vacation,Word of mouth,2,9,Promoters,Gym,Facility,Excellent,5
593,Guest 00593,Male,1974-01-26,2022-09-05,Business,Organization,5,5,Detractors,Staff attitude,Staff,Poor,1
594,Guest 00594,Male,1952-08-08,2021-02-27,Function,Word of mouth,5,9,Promoters,Check-in Process,Staff,Average,2
595,Guest 00595,Female,1995-03-13,2022-04-19,Vacation,Word of mouth,1,9,Promoters,Room service,Room,Very good,4
596,Guest 00596,Male,1978-12-31,2020-03-02,Function,Search engine,4,10,Promoters,Room cleanliness,Room,Good,3
597,Guest 00597,Female,1960-10-30,2020-03-08,Business,Organization,5,9,Promoters,Food quality,Restaurant,Average,2
598,Guest 00598,Female,1991-06-25,2021-03-14,Business,Organization,3,9,Promoters,Variety of food,Restaurant,Average,2
599,Guest 00599,Female,2003-06-05,2021-05-27,Business,Organization,3,9,Promoters,Broadband & TV,Facility,Very good,4
600,Guest 00600,Female,2001-06-18,2022-12-03,Business,Organization,4,9,Promoters,Gym,Facility,Excellent,5
601,Guest 00601,Female,1995-03-14,2021-01-20,Vacation,Internet advertisement,4,7,Passives,Staff attitude,Staff,Very good,4
602,Guest 00602,Female,1990-04-10,2021-11-25,Vacation,hotel booking sites,2,7,Passives,Check-in Process,Staff,Excellent,5
603,Guest 00603,Female,1951-01-12,2021-07-29,Vacation,Search engine,4,7,Passives,Room service,Room,Good,3
604,Guest 00604,Male,1961-11-18,2022-07-16,Business,hotel booking sites,5,4,Detractors,Room cleanliness,Room,Very good,4
605,Guest 00605,Female,1953-05-15,2022-05-24,Vacation,Television advertisement,2,9,Promoters,Food quality,Restaurant,Poor,1
606,Guest 00606,Male,1955-12-03,2021-04-17,Business,Organization,4,9,Promoters,Variety of food,Restaurant,Average,2
607,Guest 00607,Male,1954-12-01,2021-07-18,Business,Organization,2,9,Promoters,Broadband & TV,Facility,Excellent,5
608,Guest 00608,Male,1978-03-28,2020-09-19,Business,Organization,5,9,Promoters,Gym,Facility,Excellent,5
609,Guest 00609,Male,1963-11-21,2021-07-29,Function,Word of mouth,1,9,Promoters,Staff attitude,Staff,Very good,4
610,Guest 00610,Male,1972-01-25,2022-02-02,Vacation,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Very good,4
611,Guest 00611,Female,1964-09-29,2022-01-23,Other,hotel booking sites,4,9,Promoters,Room service,Room,Very good,4
612,Guest 00612,Male,1988-08-15,2021-03-01,Business,Organization,2,9,Promoters,Room cleanliness,Room,Excellent,5
613,Guest 00613,Female,1990-12-10,2021-10-11,Business,Organization,5,7,Passives,Food quality,Restaurant,Very good,4
614,Guest 00614,Male,2003-04-21,2021-10-25,Function,Television advertisement,5,8,Passives,Variety of food,Restaurant,Good,3
615,Guest 00615,Male,2002-11-04,2020-10-13,Vacation,Search engine,5,8,Passives,Broadband & TV,Facility,Poor,1
616,Guest 00616,Female,1953-06-17,2020-10-05,Business,Organization,4,9,Promoters,Gym,Facility,Very good,4
617,Guest 00617,Female,1958-09-08,2020-06-12,Vacation,Internet advertisement,3,9,Promoters,Staff attitude,Staff,Very good,4
618,Guest 00618,Male,1964-07-30,2021-09-20,Vacation,Internet advertisement,3,9,Promoters,Check-in Process,Staff,Good,3
619,Guest 00619,Male,1981-08-30,2020-06-14,Business,Organization,2,6,Detractors,Room service,Room,Very good,4
620,Guest 00620,Female,1971-01-27,2021-02-12,Function,Organization,5,5,Detractors,Room cleanliness,Room,Excellent,5
621,Guest 00621,Female,1966-05-07,2021-08-21,Business,Organization,1,9,Promoters,Food quality,Restaurant,Average,2
622,Guest 00622,Female,1979-08-24,2021-04-30,Business,Organization,3,9,Promoters,Variety of food,Restaurant,Average,2
623,Guest 00623,Female,1974-08-15,2021-12-08,Vacation,Search engine,5,5,Detractors,Broadband & TV,Facility,Good,3
625,Guest 00625,Female,1982-04-07,2020-03-23,Business,Search engine,2,4,Detractors,Staff attitude,Staff,Very good,4
626,Guest 00626,Male,1986-01-05,2022-03-04,Vacation,hotel booking sites,3,9,Promoters,Check-in Process,Staff,Average,2
627,Guest 00627,Male,1971-03-27,2020-01-09,Vacation,hotel booking sites,4,9,Promoters,Room service,Room,Good,3
628,Guest 00628,Female,1961-11-29,2021-03-01,Vacation,hotel booking sites,1,7,Passives,Room cleanliness,Room,Excellent,5
629,Guest 00629,Female,1960-08-19,2022-12-08,Vacation,Television advertisement,2,10,Promoters,Food quality,Restaurant,Good,3
630,Guest 00630,Female,1977-04-10,2020-12-05,Business,Organization,2,6,Detractors,Variety of food,Restaurant,Average,2
631,Guest 00631,Male,1965-09-12,2021-07-01,Vacation,Word of mouth,5,8,Passives,Broadband & TV,Facility,Very good,4
632,Guest 00632,Male,1957-04-18,2020-05-30,Business,Organization,1,9,Promoters,Gym,Facility,Very good,4
633,Guest 00633,Male,2000-01-13,2021-09-23,Vacation,Internet advertisement,5,9,Promoters,Staff attitude,Staff,Good,3
634,Guest 00634,Female,1995-12-23,2020-12-28,Business,Organization,4,6,Detractors,Check-in Process,Staff,Very good,4
635,Guest 00635,Female,1957-11-02,2021-01-01,Vacation,Internet advertisement,2,9,Promoters,Room service,Room,Very good,4
636,Guest 00636,Male,1976-05-03,2021-12-14,Vacation,Internet advertisement,2,9,Promoters,Room cleanliness,Room,Average,2
637,Guest 00637,Female,2001-05-11,2022-11-14,Business,Organization,4,9,Promoters,Food quality,Restaurant,Very good,4
638,Guest 00638,Male,1988-10-09,2020-01-23,Vacation,Organization,3,10,Promoters,Variety of food,Restaurant,Average,2
639,Guest 00639,Female,2001-09-22,2020-10-16,Vacation,Organization,4,9,Promoters,Broadband & TV,Facility,Very good,4
640,Guest 00640,Male,2002-02-04,2022-05-31,Business,Search engine,2,8,Passives,Gym,Facility,Average,2
641,Guest 00641,Male,1969-02-01,2020-01-29,Business,Organization,5,10,Promoters,Staff attitude,Staff,Excellent,5
642,Guest 00642,Male,1982-09-12,2020-08-29,Business,Organization,5,6,Detractors,Check-in Process,Staff,Very good,4
643,Guest 00643,Female,1977-07-24,2020-04-26,Vacation,Internet advertisement,4,9,Promoters,Room service,Room,Good,3
644,Guest 00644,Male,1957-07-05,2020-05-24,Function,Internet advertisement,5,8,Passives,Room cleanliness,Room,Average,2
645,Guest 00645,Male,1996-06-28,2022-03-28,Vacation,Word of mouth,3,9,Promoters,Food quality,Restaurant,Average,2
646,Guest 00646,Female,1968-10-07,2020-06-24,Business,Organization,5,8,Passives,Variety of food,Restaurant,Average,2
647,Guest 00647,Female,1983-05-23,2020-10-02,Vacation,Internet advertisement,4,9,Promoters,Broadband & TV,Facility,Good,3
648,Guest 00648,Male,1965-04-25,2021-01-05,Vacation,hotel booking sites,5,8,Passives,Gym,Facility,Very good,4
649,Guest 00649,Male,2000-10-06,2021-11-05,Vacation,Word of mouth,3,8,Passives,Staff attitude,Staff,Very good,4
650,Guest 00650,Female,1979-08-08,2022-12-12,Vacation,Word of mouth,2,6,Detractors,Check-in Process,Staff,Very good,4
651,Guest 00651,Female,1996-11-22,2020-10-01,Function,Word of mouth,4,9,Promoters,Room service,Room,Good,3
652,Guest 00652,Female,1987-11-10,2022-01-26,Function,Television advertisement,4,10,Promoters,Room cleanliness,Room,Average,2
653,Guest 00653,Female,2001-01-22,2022-06-08,Vacation,Word of mouth,5,3,Detractors,Food quality,Restaurant,Average,2
654,Guest 00654,Male,1998-01-14,2022-01-01,Business,Organization,4,9,Promoters,Variety of food,Restaurant,Poor,1
655,Guest 00655,Male,1967-07-02,2021-09-07,Business,Organization,5,6,Detractors,Broadband & TV,Facility,Good,3
656,Guest 00656,Male,2006-08-26,2021-09-05,Business,Organization,5,10,Promoters,Gym,Facility,Excellent,5
657,Guest 00657,Male,1986-12-16,2020-10-29,Other,Internet advertisement,5,9,Promoters,Staff attitude,Staff,Excellent,5
658,Guest 00658,Female,1973-08-03,2021-02-14,Business,Organization,4,9,Promoters,Check-in Process,Staff,Excellent,5
659,Guest 00659,Female,1995-05-25,2021-11-24,Function,Word of mouth,4,7,Passives,Room service,Room,Very good,4
660,Guest 00660,Male,1999-01-10,2021-07-03,Function,Internet advertisement,5,9,Promoters,Room cleanliness,Room,Poor,1
661,Guest 00661,Female,2006-08-05,2021-11-14,Vacation,hotel booking sites,2,6,Detractors,Food quality,Restaurant,Average,2
662,Guest 00662,Female,1957-07-12,2020-04-07,Business,Organization,2,6,Detractors,Variety of food,Restaurant,Poor,1
663,Guest 00663,Male,1958-08-28,2021-06-04,Business,hotel booking sites,3,9,Promoters,Broadband & TV,Facility,Average,2
664,Guest 00664,Female,1964-11-17,2021-07-19,Function,News paper,5,9,Promoters,Gym,Facility,Excellent,5
665,Guest 00665,Female,1977-12-30,2020-05-26,Business,Organization,4,7,Passives,Staff attitude,Staff,Good,3
666,Guest 00666,Female,1999-03-29,2021-12-03,Vacation,Television advertisement,2,5,Detractors,Check-in Process,Staff,Good,3
667,Guest 00667,Male,1980-09-05,2021-06-30,Other,Search engine,3,9,Promoters,Room service,Room,Excellent,5
668,Guest 00668,Male,1978-05-29,2020-01-17,Vacation,Television advertisement,4,7,Passives,Room cleanliness,Room,Excellent,5
669,Guest 00669,Male,1983-01-20,2022-04-04,Business,Organization,4,8,Passives,Food quality,Restaurant,Good,3
670,Guest 00670,Male,1954-08-17,2020-07-19,Vacation,hotel booking sites,5,10,Promoters,Variety of food,Restaurant,Average,2
671,Guest 00671,Female,1956-06-04,2021-01-27,Function,Search engine,5,8,Passives,Broadband & TV,Facility,Average,2
672,Guest 00672,Female,1953-05-08,2021-01-27,Vacation,hotel booking sites,5,9,Promoters,Gym,Facility,Poor,1
673,Guest 00673,Female,1994-11-15,2022-10-16,Function,Internet advertisement,5,9,Promoters,Staff attitude,Staff,Very good,4
674,Guest 00674,Female,1973-04-25,2022-04-04,Function,Internet advertisement,5,9,Promoters,Check-in Process,Staff,Excellent,5
675,Guest 00675,Female,1990-12-17,2020-01-16,Vacation,Word of mouth,4,9,Promoters,Room service,Room,Excellent,5
676,Guest 00676,Male,1972-06-05,2020-07-01,Business,Organization,5,9,Promoters,Room cleanliness,Room,Excellent,5
677,Guest 00677,Male,1978-08-24,2022-10-22,Business,Organization,3,5,Detractors,Food quality,Restaurant,Very good,4
678,Guest 00678,Male,1957-07-17,2021-04-08,Business,Internet advertisement,2,9,Promoters,Variety of food,Restaurant,Average,2
679,Guest 00679,Male,1970-07-29,2022-09-01,Other,hotel booking sites,4,4,Detractors,Broadband & TV,Facility,Poor,1
680,Guest 00680,Female,1976-01-28,2021-10-30,Business,Organization,5,9,Promoters,Gym,Facility,Very good,4
681,Guest 00681,Male,1957-06-12,2022-03-19,Other,hotel booking sites,4,9,Promoters,Staff attitude,Staff,Excellent,5
682,Guest 00682,Male,1996-02-04,2022-10-05,Vacation,Search engine,2,9,Promoters,Check-in Process,Staff,Good,3
683,Guest 00683,Male,1982-09-01,2021-12-18,Vacation,Internet advertisement,4,8,Passives,Room service,Room,Excellent,5
684,Guest 00684,Male,1969-11-08,2020-12-17,Business,Organization,5,7,Passives,Room cleanliness,Room,Excellent,5
685,Guest 00685,Male,2004-04-28,2020-04-26,Vacation,Television advertisement,4,10,Promoters,Food quality,Restaurant,Good,3
686,Guest 00686,Male,1983-04-25,2021-09-14,Other,Organization,1,10,Promoters,Variety of food,Restaurant,Average,2
687,Guest 00687,Male,1964-02-03,2021-10-06,Business,Organization,2,7,Passives,Broadband & TV,Facility,Poor,1
688,Guest 00688,Male,2000-01-31,2022-04-19,Vacation,Search engine,5,9,Promoters,Gym,Facility,Very good,4
689,Guest 00689,Male,1996-02-24,2021-07-08,Function,Television advertisement,2,6,Detractors,Staff attitude,Staff,Poor,1
690,Guest 00690,Male,1982-04-24,2020-07-21,Business,Organization,2,7,Passives,Check-in Process,Staff,Poor,1
691,Guest 00691,Male,1984-12-11,2022-03-15,Vacation,Search engine,1,3,Detractors,Room service,Room,Average,2
692,Guest 00692,Male,1961-12-14,2022-08-30,Business,Word of mouth,3,7,Passives,Room cleanliness,Room,Very good,4
693,Guest 00693,Male,1954-11-28,2022-02-15,Business,Organization,4,4,Detractors,Food quality,Restaurant,Good,3
694,Guest 00694,Female,1976-06-16,2021-12-07,Business,Organization,3,8,Passives,Variety of food,Restaurant,Average,2
